Customer ID,Churn Status
ADF0001,0
ADF0002,0
ADF0003,0
ADF0004,0
ADF0005,0
ADF0006,0
ADF0007,0
ADF0008,0
ADF0009,0
ADF0010,0
ADF0011,0
ADF0012,0
ADF0013,0
ADF0014,0
ADF0015,0
ADF0016,0
ADF0017,0
ADF0018,0
ADF0019,0
ADF0020,0
ADF0021,0
ADF0022,0
ADF0023,0
ADF0024,0
ADF0025,0
ADF0026,0
ADF0027,0
ADF0028,0
ADF0029,0
ADF0030,0
ADF0031,0
ADF0032,0
ADF0033,0
ADF0034,0
ADF0035,0
ADF0036,0
ADF0037,0
ADF0139,0
ADF0140,0
ADF0141,0
ADF0142,0
ADF0143,0
ADF0144,0
ADF0145,0
ADF0146,0
ADF0147,0
ADF0148,0
ADF0149,0
ADF0150,0
ADF0151,0
ADF0152,0
ADF0153,0
ADF0154,0
ADF0155,0
ADF0156,0
ADF0157,0
ADF0158,0
ADF0159,0
ADF0160,0
ADF0161,0
ADF0162,0
ADF0163,0
ADF0164,0
ADF0165,0
ADF0166,0
ADF0167,0
ADF0168,0
ADF0169,0
ADF0170,0
ADF0171,0
ADF0172,0
ADF0173,0
ADF0174,0
ADF0175,0
ADF0176,0
ADF0177,0
ADF0178,0
ADF0179,0
ADF0180,0
ADF0181,0
ADF0182,0
ADF0183,0
ADF0184,0
ADF0185,0
ADF0186,0
ADF0187,0
ADF0188,0
ADF0189,0
ADF0190,0
ADF0191,0
ADF0192,0
ADF0193,0
ADF0194,0
ADF0195,0
ADF0196,0
ADF0197,0
ADF0198,0
ADF0199,0
ADF0200,0
ADF0201,0
ADF0202,0
ADF0203,0
ADF0204,0
ADF0205,0
ADF0206,0
ADF0207,0
ADF0208,0
ADF0209,0
ADF0210,0
ADF0211,0
ADF0212,0
ADF0213,0
ADF0214,0
ADF0215,0
ADF0216,0
ADF0217,0
ADF0218,0
ADF0219,0
ADF0220,0
ADF0221,0
ADF0222,0
ADF0223,0
ADF0224,0
ADF0225,0
ADF0226,0
ADF0227,0
ADF0228,0
ADF0229,0
ADF0230,0
ADF0231,0
ADF0232,0
ADF0233,0
ADF0234,0
ADF0235,0
ADF0236,0
ADF0237,0
ADF0238,0
ADF0239,0
ADF0240,0
ADF0241,0
ADF0242,0
ADF0243,0
ADF0244,0
ADF0245,0
ADF0246,0
ADF0247,0
ADF0248,0
ADF0249,0
ADF0250,0
ADF0251,0
ADF0252,0
ADF0253,0
ADF0562,0
ADF0563,0
ADF0564,0
ADF0565,0
ADF0566,0
ADF0567,0
ADF0568,0
ADF0569,0
ADF0570,0
ADF0571,0
ADF0572,0
ADF0573,0
ADF0574,0
ADF0575,0
ADF0576,0
ADF0577,0
ADF0578,0
ADF0579,0
ADF0644,0
ADF0645,0
ADF0646,0
ADF0647,0
ADF0648,0
ADF0649,0
ADF0650,0
ADF0651,0
ADF0652,0
ADF0653,0
ADF0654,0
ADF0655,0
ADF0656,0
ADF0657,0
ADF0658,0
ADF0659,0
ADF0660,0
ADF0661,0
ADF0662,0
ADF0663,0
ADF0664,0
ADF0665,0
ADF0666,0
ADF0667,0
ADF0668,0
ADF0669,0
ADF0670,0
ADF0671,0
ADF0672,0
ADF0673,0
ADF0674,0
ADF0675,0
ADF0676,0
ADF0677,0
ADF0678,0
ADF0679,0
ADF0680,0
ADF0681,0
ADF0682,0
ADF0683,0
ADF0684,0
ADF0685,0
ADF0686,0
ADF0687,0
ADF0688,0
ADF0689,0
ADF0690,0
ADF0691,0
ADF0692,0
ADF0693,0
ADF0694,0
ADF0695,0
ADF0696,0
ADF0697,0
ADF0698,0
ADF0699,0
ADF0700,0
